image_name,interesting/not interesting,num_person,num_vehicles,avg_person_conf,total_boxes,bounding_boxes
2019-09-13_15_58_03_478,1,1,0,0.614,1,"[{""label"": ""person"", ""score"": 0.61397784948349, ""bbox"": [327.6471252441406, 477.29248046875, 350.3953552246094, 534.349853515625]}]"
2019-09-14_08_38_03_254,0,0,0,0.0,0,[]
2019-09-14_13_03_03_365,0,0,0,0.0,0,[]
2019-09-14_17_43_02_790,0,0,0,0.0,0,[]
2019-09-15_10_18_06_305,0,0,0,0.0,0,[]
2019-09-15_14_53_05_987,0,0,0,0.0,0,[]
2019-09-16_07_23_03_024,1,1,0,0.612,1,"[{""label"": ""person"", ""score"": 0.6115559935569763, ""bbox"": [293.0907897949219, 457.9524841308594, 313.94512939453125, 507.5650939941406]}]"
2019-09-16_11_53_03_622,1,0,1,0.0,1,"[{""label"": ""car"", ""score"": 0.6648171544075012, ""bbox"": [306.6655578613281, 454.7384033203125, 360.22705078125, 505.9604187011719]}]"
2019-09-16_16_18_03_944,0,0,0,0.0,0,[]
2019-09-17_08_48_03_061,1,0,1,0.0,1,"[{""label"": ""car"", ""score"": 0.7386573553085327, ""bbox"": [0.0, 492.5887451171875, 59.98350143432617, 539.7155151367188]}]"
2019-09-17_13_33_03_497,1,3,0,0.71,3,"[{""label"": ""person"", ""score"": 0.7898109555244446, ""bbox"": [428.45184326171875, 538.67919921875, 489.35296630859375, 662.9824829101562]}, {""label"": ""person"", ""score"": 0.6911609768867493, ""bbox"": [167.1781768798828, 533.0878295898438, 205.83572387695312, 642.9002075195312]}, {""label"": ""person"", ""score"": 0.649942934513092, ""bbox"": [340.71087646484375, 500.1027526855469, 381.06658935546875, 597.1567993164062]}]"
2019-09-17_18_13_04_937,0,0,0,0.0,0,[]
2019-09-18_10_43_03_384,1,2,1,0.783,4,"[{""label"": ""person"", ""score"": 0.8178349137306213, ""bbox"": [162.8495330810547, 563.697265625, 222.77256774902344, 686.0864868164062]}, {""label"": ""person"", ""score"": 0.7485467195510864, ""bbox"": [339.2836608886719, 569.5574951171875, 391.43658447265625, 723.4969482421875]}, {""label"": ""boat"", ""score"": 0.6964415907859802, ""bbox"": [264.38177490234375, 502.62506103515625, 590.246826171875, 678.9675903320312]}, {""label"": ""car"", ""score"": 0.6353147029876709, ""bbox"": [294.6628112792969, 455.3298034667969, 362.5881652832031, 510.09381103515625]}]"
2019-09-18_15_13_03_453,0,0,0,0.0,0,[]
2019-09-19_07_33_02_186,0,0,0,0.0,0,[]
2019-09-19_12_03_03_313,1,2,0,0.738,2,"[{""label"": ""person"", ""score"": 0.7891387343406677, ""bbox"": [201.45889282226562, 587.7399291992188, 303.70111083984375, 747.9823608398438]}, {""label"": ""person"", ""score"": 0.6877781748771667, ""bbox"": [153.69322204589844, 560.5513305664062, 195.6748809814453, 672.7294311523438]}]"
2019-09-19_16_38_04_068,0,0,0,0.0,0,[]
2019-09-20_09_13_04_198,0,0,0,0.0,0,[]
2019-09-20_13_38_05_298,1,2,0,0.773,2,"[{""label"": ""person"", ""score"": 0.8267292976379395, ""bbox"": [162.6853790283203, 523.19189453125, 204.30029296875, 646.7050170898438]}, {""label"": ""person"", ""score"": 0.7200101613998413, ""bbox"": [460.40826416015625, 519.1082153320312, 496.2618713378906, 609.8634033203125]}]"
2019-09-20_18_13_02_896,0,0,0,0.0,0,[]
2019-09-21_10_43_03_564,0,0,0,0.0,0,[]
2019-09-21_15_13_16_734,0,0,0,0.0,0,[]
2019-09-22_07_33_03_013,0,0,0,0.0,0,[]
2019-09-22_12_03_04_874,0,0,0,0.0,0,[]
2019-09-22_16_28_03_178,0,0,0,0.0,0,[]
2019-09-23_08_58_03_816,0,0,0,0.0,0,[]
2019-09-23_13_23_05_072,1,1,0,0.712,1,"[{""label"": ""person"", ""score"": 0.7116695642471313, ""bbox"": [158.12802124023438, 521.3897094726562, 210.19363403320312, 619.4154663085938]}]"
2019-09-23_18_08_04_371,0,0,0,0.0,0,[]
2019-09-24_10_38_04_595,0,0,0,0.0,0,[]
2019-09-24_15_03_09_524,1,1,0,0.815,1,"[{""label"": ""person"", ""score"": 0.8154300451278687, ""bbox"": [287.7370300292969, 629.1195068359375, 335.1387634277344, 787.91064453125]}]"
2019-09-25_07_28_04_924,0,0,0,0.0,0,[]
2019-09-25_11_58_05_417,0,0,0,0.0,0,[]
2019-09-25_16_33_06_106,0,1,0,0.799,1,"[{""label"": ""person"", ""score"": 0.7985182404518127, ""bbox"": [177.2704620361328, 524.906982421875, 228.78207397460938, 629.072998046875]}]"
2019-09-26_09_18_03_122,0,1,0,0.796,1,"[{""label"": ""person"", ""score"": 0.7963467240333557, ""bbox"": [174.4044189453125, 555.1844482421875, 222.99227905273438, 684.3953857421875]}]"
2019-09-26_13_58_03_687,1,1,0,0.714,1,"[{""label"": ""person"", ""score"": 0.7136308550834656, ""bbox"": [321.3333435058594, 493.8936462402344, 346.27862548828125, 573.5431518554688]}]"
2019-09-27_06_38_02_687,0,0,0,0.0,0,[]
2019-09-27_11_08_02_918,0,0,0,0.0,0,[]
2019-09-27_15_43_02_824,0,0,1,0.0,1,"[{""label"": ""train"", ""score"": 0.6970881223678589, ""bbox"": [0.0, 531.7732543945312, 437.68475341796875, 952.780517578125]}]"
2019-09-28_08_23_02_627,0,0,0,0.0,0,[]
2019-09-28_13_03_08_903,0,0,0,0.0,0,[]
2019-09-28_17_33_05_865,0,0,0,0.0,0,[]
2019-09-29_09_58_04_684,0,0,0,0.0,0,[]
2019-09-29_14_23_30_340,0,0,1,0.0,1,"[{""label"": ""train"", ""score"": 0.6253455281257629, ""bbox"": [0.0, 529.556396484375, 433.9419250488281, 949.6898803710938]}]"
2019-09-30_06_53_01_960,0,0,0,0.0,0,[]
2019-09-30_11_13_04_086,1,2,0,0.709,2,"[{""label"": ""person"", ""score"": 0.7513381838798523, ""bbox"": [716.8580322265625, 505.5974426269531, 745.1942749023438, 581.236572265625]}, {""label"": ""person"", ""score"": 0.6668809652328491, ""bbox"": [251.31358337402344, 471.25634765625, 271.43280029296875, 526.030517578125]}]"
2019-09-30_15_38_03_105,1,1,0,0.791,1,"[{""label"": ""person"", ""score"": 0.7914066314697266, ""bbox"": [582.7994384765625, 528.8167724609375, 626.93115234375, 663.1160888671875]}]"
2019-10-01_08_13_02_836,0,0,0,0.0,0,[]
2019-10-01_12_33_03_739,0,0,0,0.0,1,"[{""label"": ""boat"", ""score"": 0.7226274609565735, ""bbox"": [0.0, 495.06976318359375, 154.81112670898438, 565.42626953125]}]"
2019-10-01_17_03_02_947,0,0,0,0.0,0,[]
2019-10-02_09_33_03_025,0,0,0,0.0,0,[]
2019-10-02_14_03_07_685,0,0,0,0.0,0,[]
2019-10-03_06_33_02_653,0,0,0,0.0,0,[]
2019-10-03_10_53_05_384,0,0,0,0.0,2,"[{""label"": ""boat"", ""score"": 0.6617422699928284, ""bbox"": [77.33293151855469, 489.73455810546875, 237.11346435546875, 558.3027954101562]}, {""label"": ""boat"", ""score"": 0.6184677481651306, ""bbox"": [0.0, 500.03619384765625, 98.73028564453125, 564.6524047851562]}]"
2019-10-03_15_28_05_292,0,0,0,0.0,0,[]
2019-10-04_08_03_03_056,0,0,1,0.0,1,"[{""label"": ""train"", ""score"": 0.6679540872573853, ""bbox"": [0.0, 534.2559814453125, 465.4924011230469, 949.5685424804688]}]"
2019-10-04_12_28_09_441,0,0,0,0.0,0,[]
2019-10-07_07_33_10_025,0,0,0,0.0,0,[]
2019-10-07_16_43_05_289,0,0,0,0.0,0,[]
2019-10-08_14_03_05_976,0,0,0,0.0,0,[]
2019-10-09_10_43_04_007,0,0,0,0.0,0,[]
2019-10-10_07_43_03_374,1,1,0,0.821,1,"[{""label"": ""person"", ""score"": 0.8210484981536865, ""bbox"": [471.0077819824219, 627.9495239257812, 543.9307861328125, 765.9989013671875]}]"
2019-10-10_16_53_03_175,0,0,0,0.0,0,[]
2019-10-11_14_03_04_193,0,0,0,0.0,1,"[{""label"": ""boat"", ""score"": 0.6796904802322388, ""bbox"": [0.0, 530.8690795898438, 455.30181884765625, 947.947265625]}]"
2019-10-15_13_43_47_842,1,2,0,0.764,2,"[{""label"": ""person"", ""score"": 0.8161303400993347, ""bbox"": [693.7604370117188, 509.155029296875, 740.3052978515625, 620.479736328125]}, {""label"": ""person"", ""score"": 0.7119130492210388, ""bbox"": [738.6596069335938, 521.8900756835938, 783.7974243164062, 590.0487060546875]}]"
2019-10-15_15_04_14_640,0,0,0,0.0,0,[]
2019-10-16_12_14_13_193,0,0,1,0.0,1,"[{""label"": ""truck"", ""score"": 0.7161064743995667, ""bbox"": [14.200889587402344, 438.5202941894531, 229.8599853515625, 518.61279296875]}]"
2019-10-17_09_24_12_392,1,1,0,0.657,1,"[{""label"": ""person"", ""score"": 0.6569090485572815, ""bbox"": [473.8614807128906, 606.9549560546875, 503.90533447265625, 670.6776733398438]}]"
2019-10-17_18_24_12_287,0,0,0,0.0,0,[]
2019-10-18_15_34_13_523,0,0,0,0.0,0,[]
2019-10-21_12_34_14_296,0,0,0,0.0,0,[]
2019-10-22_10_04_13_432,1,2,0,0.714,2,"[{""label"": ""person"", ""score"": 0.7850382924079895, ""bbox"": [155.59066772460938, 520.3431396484375, 214.1201629638672, 630.336669921875]}, {""label"": ""person"", ""score"": 0.6434818506240845, ""bbox"": [390.9948425292969, 644.4053955078125, 424.8597717285156, 694.9661865234375]}]"
2019-10-23_07_04_14_545,0,0,0,0.0,0,[]
2019-10-23_15_54_14_566,0,0,0,0.0,0,[]
2019-10-24_12_34_14_692,0,0,0,0.0,0,[]
2019-10-25_09_14_11_888,0,0,0,0.0,0,[]
2019-10-28_06_34_15_969,0,0,0,0.0,0,[]
2019-10-28_15_34_18_535,0,0,0,0.0,0,[]
2019-10-29_12_54_20_800,0,0,0,0.0,0,[]
2019-10-30_09_54_13_691,0,0,0,0.0,0,[]
2019-10-31_06_54_14_752,0,0,0,0.0,0,[]
2019-10-31_16_34_13_704,0,0,0,0.0,0,[]
2019-11-01_13_44_14_199,0,0,0,0.0,0,[]
2019-11-04_10_34_11_977,0,0,0,0.0,0,[]
2019-11-05_07_44_12_431,0,0,0,0.0,0,[]
2019-11-05_16_34_21_492,0,0,0,0.0,0,[]
2019-11-06_13_54_28_608,0,0,1,0.0,1,"[{""label"": ""train"", ""score"": 0.6858455538749695, ""bbox"": [0.1065826416015625, 528.5662841796875, 359.51654052734375, 950.9804077148438]}]"
2019-11-07_10_54_18_987,0,0,0,0.0,0,[]
2019-11-08_07_34_19_074,0,0,0,0.0,0,[]
2019-11-08_17_04_13_894,0,0,0,0.0,0,[]
2019-11-11_14_04_13_856,0,0,1,0.0,1,"[{""label"": ""train"", ""score"": 0.6577894687652588, ""bbox"": [0.20806884765625, 518.5098266601562, 356.9322509765625, 951.9173583984375]}]"
2019-11-12_10_54_13_072,0,0,0,0.0,0,[]
2019-11-13_08_14_12_432,0,0,0,0.0,0,[]
2019-11-13_17_34_19_707,0,0,0,0.0,0,[]
2019-11-14_14_44_20_373,0,0,0,0.0,0,[]
2019-11-15_12_04_13_164,0,0,0,0.0,0,[]
2019-11-18_09_04_12_692,0,0,0,0.0,0,[]
2019-11-18_17_54_12_928,0,0,0,0.0,0,[]
2019-11-19_14_44_19_745,1,2,0,0.813,2,"[{""label"": ""person"", ""score"": 0.8427377939224243, ""bbox"": [314.51849365234375, 546.5127563476562, 363.7622375488281, 680.5923461914062]}, {""label"": ""person"", ""score"": 0.7838475704193115, ""bbox"": [262.23248291015625, 539.29833984375, 307.71923828125, 685.099609375]}]"
2019-11-20_11_54_20_046,0,0,0,0.0,0,[]
2019-11-21_09_04_12_224,0,0,1,0.0,1,"[{""label"": ""truck"", ""score"": 0.7341610789299011, ""bbox"": [144.3179168701172, 410.47357177734375, 412.1979675292969, 504.45721435546875]}]"
2019-11-21_18_04_13_685,0,0,0,0.0,0,[]
2019-11-22_12_09_11_821,0,0,0,0.0,0,[]
2019-11-22_15_00_12_022,1,1,0,0.663,1,"[{""label"": ""person"", ""score"": 0.663435697555542, ""bbox"": [99.54122161865234, 461.0067443847656, 129.9226837158203, 532.3694458007812]}]"
2019-11-25_08_21_19_737,0,0,0,0.0,0,[]
2019-11-25_17_11_13_447,0,0,0,0.0,0,[]
2019-11-26_14_21_17_419,0,0,0,0.0,0,[]
2019-11-27_11_21_10_757,0,0,0,0.0,0,[]
2019-11-28_07_00_18_752,0,0,0,0.0,0,[]
2019-11-28_09_39_11_211,0,1,0,0.737,1,"[{""label"": ""person"", ""score"": 0.7365069389343262, ""bbox"": [70.16986846923828, 459.72021484375, 105.1867446899414, 532.3934326171875]}]"
2019-11-28_12_24_10_776,1,3,1,0.662,4,"[{""label"": ""person"", ""score"": 0.7433103919029236, ""bbox"": [154.7143096923828, 486.5804748535156, 204.5586700439453, 578.5609130859375]}, {""label"": ""person"", ""score"": 0.6253982186317444, ""bbox"": [655.5454711914062, 526.4832763671875, 680.180908203125, 603.2360229492188]}, {""label"": ""truck"", ""score"": 0.6225200891494751, ""bbox"": [31.386077880859375, 420.2073974609375, 340.3958435058594, 523.6069946289062]}, {""label"": ""person"", ""score"": 0.6182726621627808, ""bbox"": [629.855224609375, 525.59228515625, 661.0277709960938, 610.4439086914062]}]"
2019-11-28_15_06_10_831,1,1,1,0.743,2,"[{""label"": ""person"", ""score"": 0.7430548071861267, ""bbox"": [492.0841064453125, 561.776123046875, 541.7581787109375, 648.3822631835938]}, {""label"": ""truck"", ""score"": 0.6370356678962708, ""bbox"": [28.356796264648438, 421.2054138183594, 343.9883728027344, 521.0405883789062]}]"
2019-11-28_17_42_12_743,0,0,0,0.0,0,[]
2019-11-29_08_27_10_077,0,0,0,0.0,0,[]
2019-11-29_14_48_10_928,0,0,0,0.0,0,[]
2019-12-02_11_48_10_948,0,0,0,0.0,0,[]
2019-12-03_08_48_12_546,0,0,0,0.0,0,[]
2019-12-03_17_58_13_686,0,0,0,0.0,0,[]
2019-12-04_09_05_13_340,1,1,0,0.748,1,"[{""label"": ""person"", ""score"": 0.7483639121055603, ""bbox"": [141.99266052246094, 504.0331115722656, 185.7891845703125, 601.5120239257812]}]"
2019-12-04_11_44_10_582,1,0,1,0.0,1,"[{""label"": ""truck"", ""score"": 0.6544299721717834, ""bbox"": [2.2850494384765625, 410.2769470214844, 322.52947998046875, 521.8653564453125]}]"
2019-12-04_14_26_10_402,1,3,1,0.666,4,"[{""label"": ""truck"", ""score"": 0.7342399954795837, ""bbox"": [0.0, 436.6236877441406, 198.17002868652344, 524.0430908203125]}, {""label"": ""person"", ""score"": 0.7309905886650085, ""bbox"": [703.665283203125, 506.42724609375, 726.3676147460938, 586.6035766601562]}, {""label"": ""person"", ""score"": 0.6355489492416382, ""bbox"": [569.692138671875, 515.3125, 590.6839599609375, 591.5591430664062]}, {""label"": ""person"", ""score"": 0.6311875581741333, ""bbox"": [881.62646484375, 517.2969970703125, 911.2279663085938, 556.2282104492188]}]"
2019-12-04_17_08_10_821,0,0,0,0.0,0,[]
2019-12-05_10_45_16_869,0,0,0,0.0,0,[]
2019-12-06_07_35_11_740,0,0,0,0.0,0,[]
2019-12-06_16_55_16_635,0,0,0,0.0,0,[]
2019-12-09_13_35_17_716,0,1,0,0.744,1,"[{""label"": ""person"", ""score"": 0.743599534034729, ""bbox"": [501.4893493652344, 495.9605712890625, 544.2103881835938, 579.281005859375]}]"
2019-12-10_11_05_11_328,1,1,0,0.681,1,"[{""label"": ""person"", ""score"": 0.6808211207389832, ""bbox"": [567.0635986328125, 514.1185302734375, 598.1782836914062, 607.864501953125]}]"
2019-12-11_07_45_09_897,1,1,0,0.721,1,"[{""label"": ""person"", ""score"": 0.721493124961853, ""bbox"": [272.6689147949219, 593.2400512695312, 349.7395324707031, 747.04931640625]}]"
2019-12-11_17_05_10_428,0,0,0,0.0,0,[]
2019-12-12_14_05_10_413,0,0,0,0.0,0,[]
2019-12-13_11_35_10_792,0,0,0,0.0,0,[]
